Exported by iSMS
Date: 07-Oct-2024
Movie filename: T23_01.sif
FRET pair #5
Dem-Dexc   Aem-Dexc   Aem-Aexc      S         E      
2037.7500	1883.7500	2490.2500	0.6116	0.4804
1427.7500	1268.0000	3093.2500	0.4657	0.4704
2006.5000	1708.2500	2420.5000	0.6055	0.4599
1362.5000	1745.7500	2766.0000	0.5291	0.5617
1682.0000	1681.5000	3164.7500	0.5152	0.4999
1557.0000	1803.5000	2914.0000	0.5356	0.5367
1670.7500	1445.7500	3061.7500	0.5044	0.4639
1788.0000	1724.2500	3265.0000	0.5182	0.4909
1871.5000	1551.5000	3140.5000	0.5215	0.4533
1496.7500	1396.0000	2672.7500	0.5198	0.4826
1770.2500	1513.2500	2793.0000	0.5404	0.4609
1921.0000	1726.5000	3134.5000	0.5378	0.4733
2093.2500	1843.0000	2955.0000	0.5712	0.4682
1810.7500	1517.7500	3038.7500	0.5228	0.4560
1870.2500	1609.7500	3051.2500	0.5328	0.4626
1797.5000	2122.7500	3150.5000	0.5544	0.5415
1923.7500	1797.0000	2795.5000	0.5710	0.4830
1859.7500	1856.7500	3261.0000	0.5326	0.4996
1745.5000	1779.7500	3087.2500	0.5331	0.5049
2075.5000	2252.0000	2890.7500	0.5995	0.5204
1806.7500	1738.5000	2441.0000	0.5922	0.4904
2165.7500	1646.7500	3164.0000	0.5465	0.4319
1712.5000	1884.0000	3146.5000	0.5334	0.5238
1715.2500	1769.2500	2893.2500	0.5464	0.5077
1862.7500	1560.0000	3023.0000	0.5310	0.4558
1774.5000	1949.7500	2994.0000	0.5543	0.5235
1862.2500	1851.0000	2694.5000	0.5795	0.4985
1736.0000	1425.5000	2770.7500	0.5329	0.4509
1752.2500	1711.2500	2986.2500	0.5370	0.4941
1843.5000	1618.7500	2804.2500	0.5525	0.4675
1735.7500	1353.0000	3260.0000	0.4865	0.4380
1591.0000	1658.7500	2951.0000	0.5241	0.5104
1798.0000	1482.7500	3024.5000	0.5203	0.4520
2040.7500	1842.5000	2924.5000	0.5704	0.4745
1765.7500	1260.2500	3189.7500	0.4868	0.4165
1786.7500	1829.5000	2997.2500	0.5468	0.5059
2108.7500	1699.7500	2746.5000	0.5810	0.4463
1953.5000	1728.7500	2869.5000	0.5620	0.4695
1751.7500	1837.0000	2538.7500	0.5857	0.5119
1884.7500	1535.7500	2834.0000	0.5469	0.4490
1692.5000	1696.7500	3090.0000	0.5231	0.5006
1756.0000	1392.0000	2534.7500	0.5540	0.4422
1756.0000	1509.0000	3218.0000	0.5036	0.4622
1986.7500	1928.7500	3141.7500	0.5548	0.4926
2085.7500	1600.2500	2802.7500	0.5681	0.4341
1748.5000	1952.5000	2657.7500	0.5820	0.5276
2099.0000	1756.7500	3180.0000	0.5480	0.4556
1820.7500	1549.2500	3088.7500	0.5218	0.4597
1427.2500	1974.0000	3308.0000	0.5069	0.5804
1459.5000	1849.0000	2833.2500	0.5387	0.5589
1627.2500	1775.2500	2988.7500	0.5324	0.5217
1767.0000	1787.5000	2530.2500	0.5842	0.5029
1930.0000	1499.5000	3231.0000	0.5149	0.4372
2226.0000	1810.2500	2926.2500	0.5797	0.4485
1755.7500	2009.0000	3159.2500	0.5437	0.5336
941.5000	3646.2500	3300.5000	0.5816	0.7948
1091.0000	3593.5000	2777.0000	0.6278	0.7671
974.7500	4094.2500	3200.2500	0.6130	0.8077
847.0000	3514.0000	2963.7500	0.5954	0.8058
853.0000	3707.5000	3239.0000	0.5847	0.8130
898.2500	3770.0000	3299.0000	0.5859	0.8076
932.0000	3530.5000	3474.7500	0.5622	0.7911
915.5000	3654.2500	3870.7500	0.5414	0.7997
901.0000	3968.7500	3495.5000	0.5821	0.8150
820.7500	4139.7500	3930.0000	0.5580	0.8345
777.5000	4640.7500	2913.2500	0.6503	0.8565
1008.5000	2411.0000	3218.5000	0.5151	0.7051
1378.2500	2081.2500	3002.7500	0.5353	0.6016
1918.5000	1705.5000	2594.2500	0.5828	0.4706
2011.7500	1450.7500	3341.2500	0.5089	0.4190
1556.7500	1726.0000	2549.7500	0.5628	0.5258
1452.5000	1656.0000	3334.7500	0.4824	0.5327
1636.0000	1945.2500	2925.0000	0.5504	0.5432
2005.0000	1688.7500	2697.5000	0.5779	0.4572
1887.5000	1937.2500	2984.0000	0.5617	0.5065
2081.7500	1882.0000	3525.2500	0.5293	0.4748
1882.5000	1680.2500	3047.2500	0.5390	0.4716
1737.5000	1997.7500	2902.0000	0.5628	0.5348
1677.0000	1773.7500	2795.2500	0.5525	0.5140
1827.7500	1896.0000	3289.7500	0.5309	0.5092
1833.5000	2004.7500	3161.2500	0.5484	0.5223
1825.0000	1630.5000	2956.2500	0.5389	0.4719
1938.0000	1772.2500	2866.5000	0.5641	0.4777
1896.5000	1755.5000	2980.5000	0.5506	0.4807
1558.2500	1950.2500	3652.0000	0.4900	0.5559
